"name","Signature","value","injection","method"
"PD36813b5","SBS88",0,"normal","Crypt"
"PD36813b6","SBS88",0,"normal","Crypt"
"PD36813c","SBS88",0,"normal","Crypt"
"PD36813c2","SBS88",0,"normal","Crypt"
"PD36813c3","SBS88",0,"normal","Crypt"
"PD36813d3","SBS88",0,"normal","Crypt"
"PD36813d5","SBS88",0,"normal","Crypt"
"PD36813e","SBS88",0,"normal","Crypt"
"PD36813e5","SBS88",0,"normal","Crypt"
"PD36813e6","SBS88",0,"normal","Crypt"
"PD36813g2","SBS88",0,"normal","Crypt"
"PD36813g4","SBS88",0,"normal","Crypt"
"PD36813h","SBS88",0,"normal","Crypt"
"PD36813h3","SBS88",0,"normal","Crypt"
"PD36813h5","SBS88",0,"normal","Crypt"
"PD36813i","SBS88",0,"normal","Crypt"
"PD36813i4","SBS88",0,"normal","Crypt"
"PD36813i6","SBS88",0,"normal","Crypt"
"PD36813j","SBS88",0,"normal","Crypt"
"PD36813j3","SBS88",4.4556233928949,"normal","Crypt"
"PD36813j6","SBS88",0,"normal","Crypt"
"PD36813k","SBS88",0,"normal","Crypt"
"PD36813k3","SBS88",0,"normal","Crypt"
"PD36813k5","SBS88",0,"normal","Crypt"
"PD36813l","SBS88",0,"normal","Crypt"
"PD36813l7","SBS88",0,"normal","Crypt"
"PD36813l8","SBS88",0,"normal","Crypt"
"PD36813m3","SBS88",0,"normal","Crypt"
"PD36813m5","SBS88",0,"normal","Crypt"
"PD36813m8","SBS88",0,"normal","Crypt"
"PD36813n","SBS88",0,"normal","Crypt"
"PD36813o2","SBS88",56.1195843446774,"normal","Crypt"
"PD36813o9","SBS88",101.716985633788,"normal","Crypt"
"PD36813p","SBS88",193.129973896578,"normal","Crypt"
"PD36813q11","SBS88",0,"normal","Crypt"
"PD36813q14","SBS88",0,"normal","Crypt"
"PD36813r12","SBS88",276.159788321027,"normal","Crypt"
"PD36813r14","SBS88",495.132381448561,"normal","Crypt"
"PD36813s12","SBS88",0,"normal","Crypt"
"PD36813t20","SBS88",0,"normal","Crypt"
"PD36813u2","SBS88",0,"normal","Crypt"
"PD36813v4","SBS88",0,"normal","Crypt"
"PD36813x15","SBS88",0,"normal","Crypt"
"PD36813x16","SBS88",0,"normal","Crypt"
"PD36813y13","SBS88",38.5472190538266,"normal","Crypt"
"PD36813y15","SBS88",0,"normal","Crypt"
"PD36813y6","SBS88",0,"normal","Crypt"
"PD36813y7","SBS88",12.6099018285883,"normal","Crypt"
"PD36813z15","SBS88",0,"normal","Crypt"
"PD36813z4","SBS88",0,"normal","Crypt"
"PD36813z5","SBS88",0,"normal","Crypt"
"PD36813z6","SBS88",0,"normal","Crypt"
"PD36813z7","SBS88",0,"normal","Crypt"
"PD36813z8","SBS88",0,"normal","Crypt"
"PD36814b2","SBS88",0,"carcinoma","Crypt"
"PD36814b7","SBS88",62.2264356715482,"carcinoma","Crypt"
"PD36814c2","SBS88",0,"carcinoma","Crypt"
"PD36814c3","SBS88",0,"carcinoma","Crypt"
"PD36814c4","SBS88",0,"carcinoma","Crypt"
"PD36814d5","SBS88",0,"carcinoma","Crypt"
"PD36814d6","SBS88",0,"carcinoma","Crypt"
"PD36814d7","SBS88",0,"carcinoma","Crypt"
"PD36814d8","SBS88",0,"carcinoma","Crypt"
"PD36814e5","SBS88",0,"carcinoma","Crypt"
"PD36814e6","SBS88",0,"carcinoma","Crypt"
"PD36814e7","SBS88",0,"carcinoma","Crypt"
"PD36814e8","SBS88",0,"carcinoma","Crypt"
"PD36814f4","SBS88",0,"carcinoma","Crypt"
"PD36814f8","SBS88",0,"carcinoma","Crypt"
"PD36814g4","SBS88",0,"carcinoma","Crypt"
"PD36814g7","SBS88",0,"carcinoma","Crypt"
"PD36814g8","SBS88",0,"carcinoma","Crypt"
"PD36814h2","SBS88",0,"carcinoma","Crypt"
"PD36814h4","SBS88",0,"carcinoma","Crypt"
"PD36814i","SBS88",0,"carcinoma","Crypt"
"PD36814i3","SBS88",0,"carcinoma","Crypt"
"PD36814i4","SBS88",0,"carcinoma","Crypt"
"PD36814k2","SBS88",0,"carcinoma","Crypt"
"PD36814k6","SBS88",0,"carcinoma","Crypt"
"PD36814k7","SBS88",0,"carcinoma","Crypt"
"PD36814k8","SBS88",0,"carcinoma","Crypt"
"PD36814l2","SBS88",0,"carcinoma","Crypt"
"PD36814l4","SBS88",0,"carcinoma","Crypt"
"PD36814l7","SBS88",0,"carcinoma","Crypt"
"PD36814l8","SBS88",0,"carcinoma","Crypt"
"PD36814m5","SBS88",0.296522637720699,"carcinoma","Crypt"
"PD36814m8","SBS88",132.420402655597,"carcinoma","Crypt"
"PD37226b5","SBS88",673.634406230309,"carcinoma","Crypt"
"PD37226b6","SBS88",792.430740851132,"carcinoma","Crypt"
"PD37226c5","SBS88",119.711214617598,"carcinoma","Crypt"
"PD37226c6","SBS88",241.30539432662,"carcinoma","Crypt"
"PD37226c7","SBS88",417.521128306428,"carcinoma","Crypt"
"PD37226c8","SBS88",668.359339248495,"carcinoma","Crypt"
"PD37226d4","SBS88",2.44430318880823,"carcinoma","Crypt"
"PD37226d5","SBS88",28.5262450911087,"carcinoma","Crypt"
"PD37226d6","SBS88",0,"carcinoma","Crypt"
"PD37226e4","SBS88",178.897239743442,"carcinoma","Crypt"
"PD37226e5","SBS88",128.791439181971,"carcinoma","Crypt"
"PD37226f5","SBS88",0,"carcinoma","Crypt"
"PD37226f6","SBS88",20.2304446765257,"carcinoma","Crypt"
"PD37226f7","SBS88",0,"carcinoma","Crypt"
"PD37226g5","SBS88",110.273996652685,"carcinoma","Crypt"
"PD37226g6","SBS88",147.461022511145,"carcinoma","Crypt"
"PD37226g7","SBS88",379.186123241628,"carcinoma","Crypt"
"PD37226h4","SBS88",0,"carcinoma","Crypt"
"PD37226h7","SBS88",24.4927392855121,"carcinoma","Crypt"
"PD37226h8","SBS88",23.3068007123299,"carcinoma","Crypt"
"PD37226i5","SBS88",0,"carcinoma","Crypt"
"PD37226i6","SBS88",0,"carcinoma","Crypt"
"PD37226i7","SBS88",0,"carcinoma","Crypt"
"PD37226i8","SBS88",0,"carcinoma","Crypt"
"PD37226j4","SBS88",106.132072762611,"carcinoma","Crypt"
