"sample","Signature","ID18_refit_coding","injection","method"
"PD37457f4","ID18",0.922667652394483,"carcinoma","Crypt"
"PD37457g5","ID18",0.948265946879744,"carcinoma","Crypt"
"PD37457h5","ID18",1,"carcinoma","Crypt"
"PD37457j7","ID18",0.10467893945166,"carcinoma","Crypt"
"PD37457j8","ID18",1,"carcinoma","Crypt"
"PD37509b9","ID18",0.98858149034861,"normal","Crypt"
"PD37510b7","ID18",1,"normal","Crypt"
"PD37512a11","ID18",1,"normal","Crypt"
"PD37512a4","ID18",0,"normal","Crypt"
"PD37512b7","ID18",0.924934385270966,"normal","Crypt"
"PD37513a2","ID18",0,"normal","Crypt"
"PD37513a20","ID18",0.753871608996752,"normal","Crypt"
"PD37513a21","ID18",1,"normal","Crypt"
"PD37513a3","ID18",1,"normal","Crypt"
"PD37513b7","ID18",0.948265946879744,"normal","Crypt"
"PD37514b3","ID18",0.949858005432401,"normal","Crypt"
"PD37514b7","ID18",0.551018525326574,"normal","Crypt"
"PD37590b_lo0015","ID18",1,"normal","Crypt"
"PD37590b_lo0018","ID18",0.968178428584363,"normal","Crypt"
"PD37590b_lo0041","ID18",0.949858005432401,"normal","Crypt"
"PD37590b_lo0052","ID18",0.948265946879744,"normal","Crypt"
"PD37590b_lo0053","ID18",1,"normal","Crypt"
"PD37590b_lo0075","ID18",1,"normal","Crypt"
"PD37590b_lo0090","ID18",1,"normal","Crypt"
"PD37590b_lo0092","ID18",1,"normal","Crypt"
"PD37590b_lo0107","ID18",1,"normal","Crypt"
"PD37590b_lo0116","ID18",0.949858005432401,"normal","Crypt"
"PD37590b_lo0117","ID18",0.922667652394483,"normal","Crypt"
"PD37590c_lo0001","ID18",1,"normal","Crypt"
"PD37590c_lo0009","ID18",0.00266827754998825,"normal","Crypt"
"PD37590c_lo0019","ID18",0.949858005432401,"normal","Crypt"
"PD37590c_lo0021","ID18",1,"normal","Crypt"
"PD37590c_lo0032","ID18",1,"normal","Crypt"
"PD37590c_lo0040","ID18",0.00263319900133099,"normal","Crypt"
"PD37590c_lo0048","ID18",1,"normal","Crypt"
"PD37590d_lo0012","ID18",0.343480988574123,"normal","Crypt"
