"name","Signature","value","injection","method"
"PD36813d3","ID18",0.504042171615608,"normal","Crypt"
"PD36813d5","ID18",0.518214694433001,"normal","Crypt"
"PD36813e","ID18",0.456982962154432,"normal","Crypt"
"PD36813e5","ID18",0.710081142912581,"normal","Crypt"
"PD36813e6","ID18",0.462882515389249,"normal","Crypt"
"PD36813g2","ID18",0.593653699520276,"normal","Crypt"
"PD36813g4","ID18",0.714505824793257,"normal","Crypt"
"PD36813h","ID18",0.369115968088958,"normal","Crypt"
"PD36813h3","ID18",0.637441348009346,"normal","Crypt"
"PD36813h5","ID18",0.525032515267388,"normal","Crypt"
"PD36813i","ID18",0.678658804668311,"normal","Crypt"
"PD36813i4","ID18",0.67034637371603,"normal","Crypt"
"PD36813i6","ID18",0.532376864782667,"normal","Crypt"
"PD36813j","ID18",0.676522405885297,"normal","Crypt"
"PD36813j3","ID18",0.579107562298915,"normal","Crypt"
"PD36813j6","ID18",0.671008810571145,"normal","Crypt"
"PD36813k","ID18",0.738550158785739,"normal","Crypt"
"PD36813k3","ID18",0.389640488358294,"normal","Crypt"
"PD36813k5","ID18",0.582363692726767,"normal","Crypt"
"PD36813l","ID18",0.902813684430805,"normal","Crypt"
"PD36813l7","ID18",0.470489600123607,"normal","Crypt"
"PD36813l8","ID18",0.735216459866478,"normal","Crypt"
"PD36813m3","ID18",0.655688691307053,"normal","Crypt"
"PD36813m5","ID18",0.479716006592513,"normal","Crypt"
"PD36813m8","ID18",0.476587536474712,"normal","Crypt"
"PD36813n","ID18",0.708490711732191,"normal","Crypt"
"PD36813o2","ID18",0.686371522448072,"normal","Crypt"
"PD36813o9","ID18",0.890156618455965,"normal","Crypt"
"PD36813p","ID18",0.902445083992048,"normal","Crypt"
"PD36813q11","ID18",0.567223302617835,"normal","Crypt"
"PD36813q14","ID18",0.622290663111175,"normal","Crypt"
"PD36813r12","ID18",0.876897871177502,"normal","Crypt"
"PD36813r14","ID18",0.970718553185784,"normal","Crypt"
"PD36813s12","ID18",0.53743794895361,"normal","Crypt"
"PD36813t20","ID18",0.313189258631825,"normal","Crypt"
"PD36813u2","ID18",0.46675100948441,"normal","Crypt"
"PD36813v4","ID18",0.478576993582614,"normal","Crypt"
"PD36813x15","ID18",0.430657968127093,"normal","Crypt"
"PD36813x16","ID18",0.490561336456543,"normal","Crypt"
"PD36813y13","ID18",0.534029311315818,"normal","Crypt"
"PD36813y15","ID18",0.626790644389162,"normal","Crypt"
"PD36813y6","ID18",0.954355720884665,"normal","Crypt"
"PD36813y7","ID18",0.814865215095078,"normal","Crypt"
"PD36813z15","ID18",0.509595084252773,"normal","Crypt"
"PD36813z4","ID18",0.851789765611618,"normal","Crypt"
"PD36813z5","ID18",0.522288473171893,"normal","Crypt"
"PD36813z6","ID18",0.586426958037043,"normal","Crypt"
"PD36813z7","ID18",0.54716906278511,"normal","Crypt"
"PD36813z8","ID18",0.767117926123032,"normal","Crypt"
"PD36814b2","ID18",0.767405246863012,"carcinoma","Crypt"
"PD36814b7","ID18",0.685660300759606,"carcinoma","Crypt"
"PD36814c2","ID18",0.581571821020209,"carcinoma","Crypt"
"PD36814c3","ID18",0.657883152270276,"carcinoma","Crypt"
"PD36814c4","ID18",0.91472432769491,"carcinoma","Crypt"
"PD36814d5","ID18",0.639891588013985,"carcinoma","Crypt"
