"sample","Signature","SBS88_refit_genic","injection","method"
"PD36813g2","SBS88",0,"normal","Crypt"
"PD36813g4","SBS88",0,"normal","Crypt"
"PD36813h","SBS88",0,"normal","Crypt"
"PD36813h3","SBS88",0,"normal","Crypt"
"PD36813h5","SBS88",0,"normal","Crypt"
"PD36813i","SBS88",0,"normal","Crypt"
"PD36813i4","SBS88",0,"normal","Crypt"
"PD36813i6","SBS88",0,"normal","Crypt"
"PD36813j","SBS88",0,"normal","Crypt"
"PD36813j3","SBS88",0.032094193618871,"normal","Crypt"
"PD36813j6","SBS88",0,"normal","Crypt"
"PD36813k","SBS88",0,"normal","Crypt"
"PD36813k3","SBS88",0,"normal","Crypt"
"PD36813k5","SBS88",0,"normal","Crypt"
"PD36813l","SBS88",0,"normal","Crypt"
"PD36813l7","SBS88",0,"normal","Crypt"
"PD36813l8","SBS88",0,"normal","Crypt"
"PD36813m3","SBS88",0,"normal","Crypt"
"PD36813m5","SBS88",0,"normal","Crypt"
"PD36813m8","SBS88",0,"normal","Crypt"
"PD36813n","SBS88",0,"normal","Crypt"
"PD36813o2","SBS88",0.0635002305123675,"normal","Crypt"
"PD36813o9","SBS88",0.0872000736197805,"normal","Crypt"
"PD36813p","SBS88",0.174576117761491,"normal","Crypt"
"PD36813q11","SBS88",0,"normal","Crypt"
"PD36813q14","SBS88",0,"normal","Crypt"
"PD36813r12","SBS88",0.246960818190179,"normal","Crypt"
"PD36813r14","SBS88",0.318700340251532,"normal","Crypt"
"PD36813s12","SBS88",0,"normal","Crypt"
"PD36813t20","SBS88",0,"normal","Crypt"
"PD36813u2","SBS88",0,"normal","Crypt"
"PD36813v4","SBS88",0,"normal","Crypt"
"PD36813x15","SBS88",0,"normal","Crypt"
"PD36813x16","SBS88",0,"normal","Crypt"
"PD36813y13","SBS88",0.0316387689765287,"normal","Crypt"
"PD36813y15","SBS88",0,"normal","Crypt"
"PD36813y6","SBS88",0,"normal","Crypt"
"PD36813y7","SBS88",0.0185221969159697,"normal","Crypt"
"PD36813z15","SBS88",0,"normal","Crypt"
"PD36813z4","SBS88",0,"normal","Crypt"
"PD36813z5","SBS88",0,"normal","Crypt"
"PD36813z6","SBS88",0,"normal","Crypt"
"PD36813z7","SBS88",0,"normal","Crypt"
"PD36813z8","SBS88",0,"normal","Crypt"
"PD36814b2","SBS88",0.00240991167508891,"carcinoma","Crypt"
"PD36814b7","SBS88",0.0320668279276337,"carcinoma","Crypt"
"PD36814c2","SBS88",0,"carcinoma","Crypt"
"PD36814c3","SBS88",0,"carcinoma","Crypt"
"PD36814c4","SBS88",0,"carcinoma","Crypt"
"PD36814d5","SBS88",0,"carcinoma","Crypt"
"PD36814d6","SBS88",0,"carcinoma","Crypt"
