"sample","n_with_driver_gene_coding","driver_coding_snv","n_with_driver_gene_id","driver_gene_id","n_with_driver_gene_snv","driver_genes_snv","total_coding_indels","in_pks_motif_coding","fraction_pksmotif_coding","total_indels_genic","in_pks_motif_genic","fraction_pksmotif_genic","n_AA_genic","n_with_gene_snv","Signature.x","ID18_refit_coding","injection.x","method.x","Signature.y","ID18_refit_genic","injection.y","method.y","Signature.x","SBS88_refit_coding","injection.x","method.x","Signature.y","SBS88_refit_genic","injection.y","method.y","n_AA_coding","n_with_coding_snv"
"C3_103_DE",0,"0",1,"CTNNA2",4,"CTNNA2;LRP1B;FHIT",2,0,0,42,6,0.142857142857143,9,313,"ID18",0.991211913011111,"normal","Crypt","ID18",0.41980884710063,"normal","Crypt","SBS88",0.233073975032401,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"C5_148_TR",0,"0",0,"0",3,"BIRC6;LRP1B;AKAP9",0,0,0,47,4,0.0851063829787234,2,637,"0",0,"0","0","ID18",0.502280837349878,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"C6_153_RE",1,"LRP1B",0,"0",4,"LRP1B;ANK1;DCC",3,0,0,114,39,0.342105263157895,75,712,"ID18",1,"normal","Crypt","ID18",0.6470187696414,"normal","Crypt","SBS88",0.0213235973099006,"normal","Crypt","SBS88",0.0966905578897482,"normal","Crypt",1,33
"D10_030_RE",0,"0",1,"EPHA7",2,"FHIT;DCC",0,0,0,39,2,0.0512820512820513,13,224,"0",0,"0","0","ID18",0.452268026973936,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"D11_153_DE",0,"0",0,"0",8,"BIRC6;CTNNA2;LRP1B;EPHA7;FOXO3",0,0,0,63,4,0.0634920634920635,7,342,"0",0,"0","0","ID18",0.958414497082083,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"D12_058_SI",0,"0",0,"0",4,"CCND3;DCC;CLTCL1",0,0,0,40,1,0.025,6,252,"0",0,"0","0","ID18",1,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"D13_076_RE",0,"0",0,"0",3,"CTNNA2;ERBB4;FOXP1",0,0,0,65,14,0.215384615384615,29,478,"0",0,"0","0","ID18",0.735208661643314,"adenoma","Crypt","SBS88",0.0606348813054464,"adenoma","Crypt","SBS88",0.0105035295411755,"adenoma","Crypt",0,0
"D14_074_RE",1,"BRCA2",1,"LRP1B",6,"LRP1B;FHIT;LEF1;EPHA7;CSMD3",0,0,0,51,15,0.294117647058824,29,419,"0",0,"0","0","ID18",0.627391086643605,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0.058499227501076,"adenoma","Crypt",1,9
"D15_277_SI",0,"0",0,"0",2,"FHIT;CSMD3",0,0,0,59,9,0.152542372881356,19,379,"0",0,"0","0","ID18",0.965673649265044,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.00249072217579327,"normal","Crypt",0,0
"D15b_277_SI",0,"0",2,"ASXL2;IDH1",4,"ARID1A;CTNNA2;FHIT;DCC",1,0,0,40,7,0.175,11,227,"ID18",0.949858005432401,"normal","Crypt","ID18",0.743963275316421,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"D16_040_SI",1,"EPHA7",1,"CTNNA2",7,"CAMTA1;CTNNA2;LRP1B;EPHA3;EPHA7;FAT3",1,0,0,95,16,0.168421052631579,42,638,"ID18",1,"normal","Crypt","ID18",0.698410230022073,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",2,28
"D17_130_CE",0,"0",0,"0",0,"0",0,0,0,41,3,0.0731707317073171,13,307,"0",0,"0","0","ID18",0.378820150514155,"normal","Crypt","SBS88",0.037316092020741,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"D18_153_TR",0,"0",0,"0",5,"ERBB4;EPHA3;FAT4;CSMD3;CDK12",4,0,0,125,38,0.304,88,593,"ID18",0,"normal","Crypt","ID18",0.583449637378814,"normal","Crypt","SBS88",0.0251779910847557,"normal","Crypt","SBS88",0.180477159407923,"normal","Crypt",2,17
"D2_09_TR",0,"0",1,"FAT4",5,"ALK;CTNNA2;FAT4;CSMD3;FAM135B",2,0,0,98,22,0.224489795918367,28,551,"ID18",0.93981143165176,"normal","Crypt","ID18",0.512441765331468,"normal","Crypt","SBS88",0.145466042902996,"normal","Crypt","SBS88",0.00242057772836779,"normal","Crypt",1,22
"D20_153_SI",0,"0",3,"LRP1B;ERBB4;CSMD3",5,"ERBB4;FHIT;FAT3;DCC;GNAS",1,0,0,120,27,0.225,17,500,"ID18",0.902933165218469,"normal","Crypt","ID18",0.476300490284553,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",2,16
"D24_093_RE",0,"0",0,"0",9,"ALK;BIRC6;ERBB4;FHIT;EPHA3;EPHA7;FKBP9;FAT3;DCC",2,1,0.5,130,90,0.692307692307692,113,473,"ID18",1,"adenoma","Crypt","ID18",0.921926610079193,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0.394672267894311,"adenoma","Crypt",3,18
"D25_029_RE",1,"LRP1B",0,"0",2,"DROSHA;ARID2",0,0,0,31,7,0.225806451612903,17,237,"0",0,"0","0","ID18",0.656827231030768,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"D26_084_SI",1,"AMER1",1,"CSMD3",3,"BCL9;LRP1B;CASP8",0,0,0,27,7,0.259259259259259,10,255,"0",0,"0","0","ID18",0.61799985677235,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0.00194141191565542,"adenoma","Crypt",0,0
"D27_074_SI",0,"0",1,"CAMTA1",3,"ERBB4;FHIT;AR",1,0,0,27,6,0.222222222222222,9,201,"ID18",0,"adenoma","Crypt","ID18",0.556274983823217,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"D29_030_AS",0,"0",0,"0",2,"FHIT;FAT4",1,0,0,61,8,0.131147540983607,17,447,"ID18",1,"adenoma","Crypt","ID18",0.318798797953091,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"D30_029_AS",0,"0",1,"BRAF",6,"LRP1B;ERBB4;FHIT;EPHA3;FBXW7;CHD2",0,0,0,62,6,0.0967741935483871,13,369,"0",0,"0","0","ID18",0.55397207447957,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"D31_031_DE",2,"APC",4,"DNMT3A;CTNNA2;ARID1B;CSMD3",7,"LRP1B;ERBB4;CCR4;CSMD3;FAT3",0,0,0,60,10,0.166666666666667,23,510,"0",0,"0","0","ID18",0.609613473308768,"adenoma","Crypt","SBS88",0.0211689878709871,"adenoma","Crypt","SBS88",0.00154759601548171,"adenoma","Crypt",1,18
"D32_076_CE",0,"0",0,"0",3,"FHIT;CSMD3;DCC",0,0,0,25,4,0.16,16,210,"0",0,"0","0","ID18",0.532887356194549,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0.0341115755038377,"adenoma","Crypt",0,0
"D33_076_DE",0,"0",0,"0",0,"0",1,0,0,3,0,0,0,0,"ID18",0.922667652394483,"adenoma","Crypt","ID18",0.99776426223832,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"D4_19_TR",0,"0",0,"0",12,"CTNNA2;LRP1B;ERBB4;FOXP1;CCND3;CSMD3;CDH11",2,0,0,61,3,0.0491803278688525,16,735,"ID18",0.998089829160346,"adenoma","Crypt","ID18",0.300568340401489,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"D6_84_RE",0,"0",4,"LRP1B;ERBB4;DCC",5,"LRP1B;ARID1B;CSMD3;DCC",0,0,0,103,58,0.563106796116505,96,464,"0",0,"0","0","ID18",0.901856648786504,"adenoma","Crypt","SBS88",0.241593182508231,"adenoma","Crypt","SBS88",0.297033173146711,"adenoma","Crypt",1,7
"D7_40_RE",0,"0",0,"0",3,"CTNNA2;FAT4;DCC",1,0,0,58,21,0.362068965517241,53,339,"ID18",0.140393548218985,"normal","Crypt","ID18",0.781878127820702,"normal","Crypt","SBS88",0.130433919108297,"normal","Crypt","SBS88",0.168178925041177,"normal","Crypt",1,9
"D8_076_AS",0,"0",0,"0",5,"LRP1B;EPHA3;CSMD3;DCC",0,0,0,61,8,0.131147540983607,32,549,"0",0,"0","0","ID18",0.574920407446525,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"D9_084_AS",0,"0",0,"0",0,"0",0,0,0,42,1,0.0238095238095238,2,157,"0",0,"0","0","ID18",0.843017276019474,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"HLS_1C_30_B5",0,"0",0,"0",2,"ALK;CTNNA2",4,0,0,95,17,0.178947368421053,56,726,"ID18",0.148371702167061,"normal","Crypt","ID18",0.591734917572518,"normal","Crypt","SBS88",0.0447706466176585,"normal","Crypt","SBS88",0.0766680675684249,"normal","Crypt",0,0
"HLS_1C_30_D5",2,"ERBB4;FAT3",0,"0",16,"LRP1B;ERBB4;FHIT;FOXP1;ARID1B;EGFR;CSMD3;FAT3;FLT3;CDH11;DCC;CLTCL1",4,1,0.25,104,37,0.355769230769231,67,739,"ID18",1,"normal","Crypt","ID18",0.75197205914415,"normal","Crypt","SBS88",0.0270268575949391,"normal","Crypt","SBS88",0.10894375390287,"normal","Crypt",0,0
"HLS_1C_30_G5",0,"0",5,"LRP1B;ERBB4;FAM135B;DCC",4,"CTNNA2;LRP1B;DCC",2,0,0,89,20,0.224719101123595,69,657,"ID18",1,"normal","Crypt","ID18",0.660114571953478,"normal","Crypt","SBS88",0.0738793318145252,"normal","Crypt","SBS88",0.128729419323957,"normal","Crypt",2,37
"HLS_1C_30_H5",0,"0",0,"0",4,"CAMTA1;ERBB4;BRAF;DCC",3,1,0.333333333333333,80,19,0.2375,39,528,"ID18",0.679720686969288,"normal","Crypt","ID18",0.679806851373963,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.0703362351519543,"normal","Crypt",2,17
"HLS_2C_30_D6",0,"0",1,"LRP1B",7,"CASP9;CTNNA2;LRP1B;FAT4;IRF4;CSMD3;ATM",0,0,0,69,23,0.333333333333333,61,565,"0",0,"0","0","ID18",0.665367859308081,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.153397081497881,"normal","Crypt",0,0
"HLS_2C_30_E6",0,"0",0,"0",8,"ALK;CTNNA2;CSMD3",0,0,0,94,17,0.180851063829787,47,650,"0",0,"0","0","ID18",0.665635724562518,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.0203814418122342,"normal","Crypt",1,21
"Laurel-1",0,"0",1,"GOLGA5",8,"ALK;CTNNA2;LRP1B;FHIT;EPHA3;BRAF;DCC",2,0,0,73,10,0.136986301369863,25,434,"ID18",0.0716729733197846,"adenoma","Crypt","ID18",0.669712263170096,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0.00926100943867578,"adenoma","Crypt",0,0
"Laurel-10",0,"0",1,"CSMD3",2,"CTNNA2;ERBB4",1,0,0,71,9,0.126760563380282,17,434,"ID18",0,"adenoma","Crypt","ID18",0.718057054827694,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0.0216074858117163,"adenoma","Crypt",0,0
"Laurel-11",0,"0",0,"0",0,"0",0,0,0,5,0,0,2,16,"0",0,"0","0","ID18",1,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"Laurel-12",0,"0",0,"0",1,"ERBB4",1,0,0,50,6,0.12,21,355,"ID18",0,"adenoma","Crypt","ID18",0.521489890893561,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",2,14
"Laurel-2",0,"0",1,"CSMD3",3,"LRP1B;DCC",2,0,0,61,5,0.0819672131147541,20,494,"ID18",0.850343173056821,"adenoma","Crypt","ID18",0.461791663905218,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0.00433271462398577,"adenoma","Crypt",0,0
"Laurel-3",1,"LRP1B",0,"0",6,"ALK;BIRC6;CTNNA2;LRP1B;FAT3",1,0,0,66,5,0.0757575757575758,20,498,"ID18",0.948265946879744,"adenoma","Crypt","ID18",0.525331085645677,"adenoma","Crypt","SBS88",0.147707744909108,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"Laurel-5",0,"0",0,"0",0,"0",1,0,0,19,2,0.105263157894737,3,61,"ID18",0,"adenoma","Crypt","ID18",0.668050268772536,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0.0323949624008622,"adenoma","Crypt",0,0
"Laurel-6",0,"0",0,"0",0,"0",0,0,0,2,0,0,0,0,"0",0,"0","0","ID18",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0.0077135350600893,"adenoma","Crypt",0,0
"Laurel-7",1,"ATM",0,"0",4,"CTNNA2;ERBB4;FAT3;ATM",1,0,0,50,2,0.04,11,341,"ID18",1,"adenoma","Crypt","ID18",0.748692920413166,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"Laurel-8",1,"FAT4",2,"FHIT;DCC",3,"ALK;FAT4;GRIN2A",0,0,0,51,4,0.0784313725490196,22,419,"0",0,"0","0","ID18",0.689280417710996,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",2,21
"PD28690bx_2_a5",1,"ERBB2",1,"FHIT",8,"CAMTA1;DDR2;BMP5;GNAQ;FAT3;ERBB2;DCC",3,1,0.333333333333333,62,8,0.129032258064516,26,518,"ID18",1,"normal","Crypt","ID18",0.59792737423276,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD28690bx_2_d5",0,"0",1,"LRP1B",7,"ALK;LRP1B;EPHA3;CSMD3;FAM135B;FAT3;DCC",1,0,0,70,11,0.157142857142857,23,533,"ID18",0,"normal","Crypt","ID18",0.678911612686916,"normal","Crypt","SBS88",0.0157452429194957,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD28690cb_2_g1",0,"0",0,"0",7,"ALK;CTNNA2;FHIT;KMT2C;ANK1;CSMD3",0,0,0,57,3,0.0526315789473684,19,436,"0",0,"0","0","ID18",0.758169771691945,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",2,19
"PD28690cb_2_g3",0,"0",1,"LRP1B",10,"ALK;LRP1B;ERBB4;EPHA3;FBXW7;CSMD3;CHD2;DCC;AR",1,0,0,81,12,0.148148148148148,44,684,"ID18",0,"normal","Crypt","ID18",0.601835069083382,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.0302785341811728,"normal","Crypt",0,0
"PD28690cb_2_h1",0,"0",2,"LRP1B;FHIT",7,"ALK;CTNNA2;LRP1B;CSMD3",0,0,0,59,6,0.101694915254237,22,500,"0",0,"0","0","ID18",0.578691513131636,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD28690cb_2_h3",1,"FAT4",0,"0",13,"ALK;CTNNA2;LRP1B;ERBB4;FAT4;BRAF;CSMD3;GRIN2A;CDH11;DCC",1,0,0,101,32,0.316831683168317,38,612,"ID18",1,"normal","Crypt","ID18",0.733672128222339,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.0482465842624459,"normal","Crypt",0,0
"PD34199a_c17",0,"0",0,"0",1,"ALK",0,0,0,43,3,0.0697674418604651,12,271,"0",0,"0","0","ID18",0.832951016537312,"normal","Crypt","SBS88",0.130013975976922,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD34199a_c22",0,"0",0,"0",3,"FAT4;CSMD3;DCC",2,0,0,44,5,0.113636363636364,5,217,"ID18",0,"normal","Crypt","ID18",0.546365992121182,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",1,11
"PD34199a_c27",0,"0",2,"FAT4;ARID1B",4,"CTNNA2;ETV1;CSMD3;FLT3",0,0,0,65,2,0.0307692307692308,7,279,"0",0,"0","0","ID18",0.523395376547965,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD34199a_c28",0,"0",0,"0",0,"0",2,0,0,59,3,0.0508474576271186,11,297,"ID18",1,"normal","Crypt","ID18",0.59656776318941,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD34199a_c3",0,"0",0,"0",2,"ALK;ANK1",1,0,0,55,2,0.0363636363636364,7,264,"ID18",0.841281967625813,"normal","Crypt","ID18",0.49816389138241,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",1,12
"PD34199a_c31",0,"0",0,"0",3,"LRP1B;ANK1",1,0,0,55,1,0.0181818181818182,11,267,"ID18",1,"normal","Crypt","ID18",0.657107677326131,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD34199a_c5",0,"0",0,"0",3,"CTNNA2;CSMD3;DCC",0,0,0,49,1,0.0204081632653061,6,271,"0",0,"0","0","ID18",0.575205251642848,"normal","Crypt","SBS88",0.061657166196803,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD34199a_c7",0,"0",1,"EGFR",3,"CSMD3;FAM135B;CDKN2A",0,0,0,47,1,0.0212765957446809,6,244,"0",0,"0","0","ID18",0.879268808320687,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD34199a_s13",0,"0",0,"0",5,"BIRC6;FHIT;EPHA7;CSMD3;CLTCL1",1,0,0,53,6,0.113207547169811,9,244,"ID18",0,"normal","Crypt","ID18",0.513566742587215,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD34199a_s16",0,"0",1,"EPHA3",2,"LRP1B;FOXP1",0,0,0,32,4,0.125,4,241,"0",0,"0","0","ID18",0.501472544802562,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD34199a_s2",0,"0",0,"0",3,"CTNNA2;ARID1B;EGFR",0,0,0,59,5,0.0847457627118644,13,261,"0",0,"0","0","ID18",0.499176357913772,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD34199a_s27",1,"AKAP9",0,"0",3,"ACVR2A;AKAP9;BCL9L",1,0,0,41,1,0.024390243902439,8,196,"ID18",0,"normal","Crypt","ID18",0.508571416149062,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD34199a_s31",2,"FOXO3;GRIN2A",2,"ETV1;DCC",4,"ARID1A;FOXO3;ARID1B;GRIN2A",0,0,0,60,5,0.0833333333333333,5,245,"0",0,"0","0","ID18",0.55744687318267,"normal","Crypt","SBS88",0.0434549856903358,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD34199a_s4",0,"0",2,"LEF1;FAT4",6,"CAMTA1;ERBB4;FOXP1;EGFR;DCC",0,0,0,45,4,0.0888888888888889,9,286,"0",0,"0","0","ID18",0.418514668127536,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD34199a_t14",0,"0",0,"0",3,"ALK;FAT4;DCC",1,0,0,51,2,0.0392156862745098,8,290,"ID18",0,"normal","Crypt","ID18",0.580375883877008,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD34199a_t16",0,"0",0,"0",6,"LRP1B;ERBB4;FHIT;CSMD3;BCOR",1,0,0,47,4,0.0851063829787234,9,294,"ID18",0.900429666132158,"normal","Crypt","ID18",0.626252834637178,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD34199a_t18",1,"ARID1B",0,"0",1,"FHIT",1,0,0,58,4,0.0689655172413793,8,299,"ID18",1,"normal","Crypt","ID18",0.841162296618922,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD34199a_t22",0,"0",2,"ERBB4;FAT3",4,"FHIT;ETV1;GRIN2A",3,0,0,48,2,0.0416666666666667,9,279,"ID18",0.996919771627614,"normal","Crypt","ID18",0.329327904547916,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD34199a_t24",0,"0",0,"0",3,"LRP1B;BCOR",0,0,0,51,5,0.0980392156862745,13,280,"0",0,"0","0","ID18",0.589272102353404,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD34199a_t28",0,"0",0,"0",1,"CSMD3",1,0,0,35,3,0.0857142857142857,11,246,"ID18",0.948265946879744,"normal","Crypt","ID18",0.39152333026213,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD34199a_t31",0,"0",1,"ANK1",4,"LRP1B;ERBB4;FHIT",0,0,0,58,5,0.0862068965517241,15,362,"0",0,"0","0","ID18",0.627600444340974,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD34202a_s12",0,"0",0,"0",2,"LRP1B;CSMD3",0,0,0,12,5,0.416666666666667,19,122,"0",0,"0","0","ID18",0.926864559109663,"normal","Crypt","SBS88",0.0884587848712287,"normal","Crypt","SBS88",0.103632690540532,"normal","Crypt",0,0
"PD34202a_s15",0,"0",0,"0",1,"ALK",0,0,0,11,3,0.272727272727273,5,96,"0",0,"0","0","ID18",0.75709035410979,"normal","Crypt","SBS88",0.284261749350238,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD34202a_s27",0,"0",0,"0",0,"0",1,0,0,6,2,0.333333333333333,4,36,"ID18",1,"normal","Crypt","ID18",0.815912881851471,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.0722317000006166,"normal","Crypt",0,0
"PD34202a_s41",0,"0",0,"0",1,"ACVR1",0,0,0,10,6,0.6,1,70,"0",0,"0","0","ID18",0.865617781920596,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.120400072264124,"normal","Crypt",0,0
"PD34202a_s43",0,"0",0,"0",1,"CTNNA2",1,0,0,13,6,0.461538461538462,3,99,"ID18",1,"normal","Crypt","ID18",0.719379916131274,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.133973055058399,"normal","Crypt",0,0
"PD34202a_s9",0,"0",0,"0",1,"CTNNA2",0,0,0,13,3,0.230769230769231,8,116,"0",0,"0","0","ID18",0.70817038034545,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.0577667280723334,"normal","Crypt",0,0
"PD36719a_lo005",0,"0",4,"ASXL2;LRP1B;ERBB4;FHIT",4,"DCC;AR",1,0,0,111,66,0.594594594594595,63,329,"ID18",0,"normal","Crypt","ID18",0.985090277744213,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.376931999250815,"normal","Crypt",1,8
"PD36719a_lo008",1,"FBXW7",0,"0",4,"ACVR1;ERBB4;FOXP1;EPHA7",2,0,0,116,68,0.586206896551724,97,370,"ID18",0.987742447272934,"normal","Crypt","ID18",0.983515025223639,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.393313241466601,"normal","Crypt",2,19
"PD36719a_lo018",0,"0",1,"ALK",4,"LRP1B;ERBB4;EPHA3;AKAP9",1,0,0,105,25,0.238095238095238,53,569,"ID18",0,"normal","Crypt","ID18",0.850173045117074,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.0974961888149289,"normal","Crypt",1,18
"PD36719a_lo022",0,"0",1,"CSMD3",5,"LRP1B;KMT2C;FAT3;DCC",1,0,0,121,35,0.289256198347107,67,530,"ID18",1,"normal","Crypt","ID18",0.897578299716053,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.171037105596966,"normal","Crypt",2,25
"PD36719a_lo034",1,"APC",2,"ERBB4;FHIT",8,"ALK;LRP1B;ERBB4;FHIT;ARID1B;AXIN2;DCC",4,0,0,133,30,0.225563909774436,72,668,"ID18",0.965152780543599,"normal","Crypt","ID18",0.95536335352862,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.0855111595172837,"normal","Crypt",2,34
"PD36719a_lo048",0,"0",1,"FAM135B",14,"CTNNA2;LRP1B;ERBB4;FHIT;LEF1;BRAF;CSMD3;GNAQ;FAT3;DCC",0,0,0,112,22,0.196428571428571,62,690,"0",0,"0","0","ID18",0.83948030483448,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.0543581862024626,"normal","Crypt",1,29
"PD36719a_lo049",0,"0",1,"CSMD3",10,"ALK;CTNNA2;LRP1B;ERBB4;FAT3;ARID2;GRIN2A;DCC",1,0,0,106,63,0.594339622641509,106,433,"ID18",1,"normal","Crypt","ID18",0.895690656717396,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.408762622619434,"normal","Crypt",0,0
"PD36719a_lo066",0,"0",0,"0",4,"ARID1A;ALK;BIRC6;DCC",0,0,0,89,21,0.235955056179775,45,426,"0",0,"0","0","ID18",0.928773091480317,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.124942293310837,"normal","Crypt",2,29
"PD36719a_lo072",0,"0",0,"0",5,"FBXW7;FAT3;GRIN2A;CDK12",1,0,0,68,15,0.220588235294118,52,432,"ID18",1,"normal","Crypt","ID18",0.979971718067837,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.0933494227753349,"normal","Crypt",2,23
"PD36813aa",0,"0",0,"0",1,"CASP8",1,0,0,45,5,0.111111111111111,11,389,"ID18",1,"normal","Crypt","ID18",0.640226681606509,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",1,22
"PD36813aa11",1,"FLT3",1,"DCC",5,"CTNNA2;LRP1B;FOXP1;FAT4;FAT3",1,0,0,58,15,0.258620689655172,16,442,"ID18",0,"normal","Crypt","ID18",0.502191560931546,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD36813aa12",1,"EPHA3",0,"0",6,"DDR2;LRP1B;CSMD3;FAM135B;FLT3;CLTCL1",2,0,0,57,9,0.157894736842105,12,473,"ID18",0.624197823699572,"normal","Crypt","ID18",0.534477902666249,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD36813aa16",1,"CREBBP",1,"CSMD3",9,"CAMTA1;LRP1B;ERBB4;FHIT;EPHA3;CSMD3;CREBBP;DCC",0,0,0,60,9,0.15,17,461,"0",0,"0","0","ID18",0.642940627261886,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD36813aa2",0,"0",1,"DCC",3,"LRP1B;FHIT;ARID1B",1,0,0,40,3,0.075,12,346,"ID18",1,"normal","Crypt","ID18",0.460926943084036,"normal","Crypt","SBS88",0.0094019793747262,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"PD36813aa7",2,"BCL9L;KDM6A",0,"0",4,"FAT4;CSMD3;CDKN2A;BCL9L",0,0,0,40,7,0.175,21,372,"0",0,"0","0","ID18",0.4390248554746,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",1,22
