"sample","n_with_driver_gene_coding","driver_coding_snv","n_with_driver_gene_id","driver_gene_id","n_with_driver_gene_snv","driver_genes_snv","total_coding_indels","in_pks_motif_coding","fraction_pksmotif_coding","total_indels_genic","in_pks_motif_genic","fraction_pksmotif_genic","n_AA_genic","n_with_gene_snv","Signature.x","ID18_refit_coding","injection.x","method.x","Signature.y","ID18_refit_genic","injection.y","method.y","Signature.x","SBS88_refit_coding","injection.x","method.x","Signature.y","SBS88_refit_genic","injection.y","method.y","n_AA_coding","n_with_coding_snv"
"18_27RE",0,"0",0,"0",1,"FGFR2",0,0,0,46,13,0.282608695652174,9,167,"0",0,"0","0","ID18",0.280030189647355,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.033156492104222,"normal","Crypt",0,0
"19_27TR",0,"0",0,"0",2,"FLT3;KDM6A",0,0,0,17,3,0.176470588235294,3,164,"0",0,"0","0","ID18",0.147958722528315,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"20_40DC",0,"0",0,"0",5,"LRP1B;EPHA7;KMT2C;CSMD3",0,0,0,76,12,0.157894736842105,19,483,"0",0,"0","0","ID18",0.552557815949332,"normal","Crypt","SBS88",0.363300163438084,"normal","Crypt","SBS88",0,"normal","Crypt",1,16
"21_116CE",0,"0",1,"FAT3",7,"LRP1B;FOXO3;CSMD3;FAM135B;FAT3;CDKN1B",1,0,0,79,9,0.113924050632911,18,422,"ID18",0.922667652394483,"adenoma","Crypt","ID18",0.368913198006451,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"22_76TR",0,"0",2,"ERBB4;AKAP9",9,"CTNNA2;LRP1B;IDH1;FOXP1;CSMD3;FAM135B;DCC;ERG",3,0,0,62,9,0.145161290322581,21,565,"ID18",1,"adenoma","Crypt","ID18",0.474817007604982,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"23_180RE",1,"FLNA",1,"DCC",5,"ALK;LRP1B;ACVR1;EPHA3;AXIN1",2,0,0,110,43,0.390909090909091,50,543,"ID18",0.997973839568768,"normal","Crypt","ID18",0.690321604797341,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.125850064489325,"normal","Crypt",0,0
"24_130DC",0,"0",3,"LRP1B;CSMD3",10,"ALK;LRP1B;ERBB4;FHIT;FAT3;ASXL1",1,0,0,78,9,0.115384615384615,16,500,"ID18",0.948265946879744,"normal","Crypt","ID18",0.430352659267669,"normal","Crypt","SBS88",0.151464805525569,"normal","Crypt","SBS88",0.00258940828046702,"normal","Crypt",0,0
"27_CE",0,"0",1,"CHD2",3,"DDR2;ALK;DCC",0,0,0,26,4,0.153846153846154,8,182,"0",0,"0","0","ID18",0.382732789048612,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"27_DC",0,"0",0,"0",1,"LRP1B",0,0,0,25,3,0.12,7,190,"0",0,"0","0","ID18",0.187236396902922,"normal","Crypt","SBS88",0.0226921468436583,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"29_74TR",0,"0",0,"0",3,"ALK;LRP1B;FBXW7",0,0,0,47,8,0.170212765957447,6,335,"0",0,"0","0","ID18",0.505958892357879,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"29_CE",0,"0",1,"CAMTA1",3,"CTNNA2;GRIN2A;DCC",0,0,0,63,5,0.0793650793650794,9,411,"0",0,"0","0","ID18",0.372193174447457,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"30_130RE",1,"FAT4",1,"EPHA3",8,"BIRC6;LRP1B;EPHA3;ERG;KDM6A",2,0,0,73,17,0.232876712328767,32,425,"ID18",1,"normal","Crypt","ID18",0.570729113723623,"normal","Crypt","SBS88",0.00360901840566194,"normal","Crypt","SBS88",0.0613708715453981,"normal","Crypt",2,19
"30_TR",0,"0",0,"0",6,"DDR2;ALK;LRP1B;CDH11;DCC",0,0,0,55,10,0.181818181818182,16,504,"0",0,"0","0","ID18",0.538719254668618,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0.00349639312643368,"adenoma","Crypt",0,0
"32_29TR",1,"CDK12",1,"ARID1B",3,"ERBB4;FOXO3;FAM135B",1,0,0,62,3,0.0483870967741935,24,546,"ID18",0,"adenoma","Crypt","ID18",0.599158438827263,"adenoma","Crypt","SBS88",0.103709218986919,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",1,17
