"name","total_indels","in_pks_motif","fraction_pksmotif","injection","method"
"A6__103_CE",96,17,0.177083333333333,"normal","Crypt"
"A7__116_DC",112,12,0.107142857142857,"adenoma","Crypt"
"A8__093_SI",118,14,0.11864406779661,"adenoma","Crypt"
"A9_09_CE",77,14,0.181818181818182,"normal","Crypt"
"B1_115_SI",92,15,0.180722891566265,"adenoma","Crypt"
"B10_058_CE",83,15,0.1171875,"normal","Crypt"
"B12_180_AS",128,28,0.297872340425532,"normal","Crypt"
"B13_148_DC",94,21,0.1640625,"normal","Crypt"
"B14_031_CE",128,128,0.60093896713615,"adenoma","Crypt"
"B15_148_RE",213,40,0.305343511450382,"normal","Crypt"
"B17_277_DC",131,13,0.142857142857143,"normal","Crypt"
"B18_115_TC",91,45,0.290322580645161,"adenoma","Crypt"
"B19_277_TC",155,16,0.173913043478261,"normal","Crypt"
"B2_116_RE",168,18,0.153846153846154,"adenoma","Crypt"
"B20_273_CE",117,53,0.321212121212121,"normal","Crypt"
"B21_153_CE",165,19,0.132867132867133,"normal","Crypt"
"B22_93_TR",143,95,0.521978021978022,"adenoma","Crypt"
"B23_153_RE",182,23,0.232323232323232,"normal","Crypt"
"B26_115_DC",99,19,0.154471544715447,"adenoma","Crypt"
"B27_116_AS",123,4,0.0434782608695652,"adenoma","Crypt"
"B28_31_TR",92,21,0.172131147540984,"adenoma","Crypt"
"B29_09_AS",122,93,0.553571428571429,"normal","Crypt"
"B3_084_DC",102,13,0.0921985815602837,"adenoma","Crypt"
"B32_93_AS",141,43,0.296551724137931,"adenoma","Crypt"
"B33_153_AS",145,12,0.102564102564103,"normal","Crypt"
"B35_130_TR",117,23,0.211009174311927,"normal","Crypt"
"B38_180_SI",109,39,0.378640776699029,"normal","Crypt"
"B39_277_CE",103,24,0.235294117647059,"normal","Crypt"
"B4_076_SI",130,35,0.257352941176471,"adenoma","Crypt"
"B41_277_AC",136,92,0.427906976744186,"normal","Crypt"
"B42_277_RTM",215,27,0.178807947019868,"normal","Crypt"
"B43_273_AS",151,19,0.138686131386861,"normal","Crypt"
"B44_273_TR",137,59,0.380645161290323,"normal","Crypt"
"B45_273_SI",155,32,0.23021582733813,"normal","Crypt"
"B46_273_DE",139,23,0.145569620253165,"normal","Crypt"
"B47_273_RE",158,14,0.107692307692308,"normal","Crypt"
"B5_031_RE",120,28,0.233333333333333,"adenoma","Crypt"
"B6_153_SI",163,33,0.202453987730061,"normal","Crypt"
"B7_030_DC",122,19,0.155737704918033,"adenoma","Crypt"
"B8_103_SI",116,26,0.224137931034483,"normal","Crypt"
"B9_115_RE",148,59,0.398648648648649,"adenoma","Crypt"
"C1_103_TR",114,20,0.163934426229508,"normal","Crypt"
"C10_93_CE",122,9,0.0909090909090909,"adenoma","Crypt"
"C14_115_TR",99,3,0.2,"adenoma","Crypt"
"C15_277_TR",15,21,0.157894736842105,"normal","Crypt"
"C16_180_CE",133,4,0.0727272727272727,"normal","Crypt"
"C17_93_AS",55,42,0.365217391304348,"adenoma","Crypt"
"C18_277_DE",115,13,0.114035087719298,"normal","Crypt"
"C22_19_SI",79,12,0.151898734177215,"adenoma","Crypt"
"C24_31_TR",80,11,0.1375,"adenoma","Crypt"
"C3_103_DE",76,10,0.131578947368421,"normal","Crypt"
"C5_148_TR",66,5,0.0757575757575758,"normal","Crypt"
"C6_153_RE",179,68,0.379888268156425,"normal","Crypt"
"D10_030_RE",56,4,0.0714285714285714,"adenoma","Crypt"
"D11_153_DE",92,4,0.0434782608695652,"normal","Crypt"
"D12_058_SI",65,5,0.0769230769230769,"normal","Crypt"
"D13_076_RE",118,24,0.203389830508475,"adenoma","Crypt"
"D14_074_RE",81,27,0.333333333333333,"adenoma","Crypt"
"D15_277_SI",95,17,0.178947368421053,"normal","Crypt"
"D15b_277_SI",64,10,0.15625,"normal","Crypt"
"D16_040_SI",146,29,0.198630136986301,"normal","Crypt"
"D17_130_CE",65,6,0.0923076923076923,"normal","Crypt"
"D18_153_TR",198,65,0.328282828282828,"normal","Crypt"
"D2_09_TR",152,37,0.209039548022599,"normal","Crypt"
"D20_153_SI",177,164,0.722466960352423,"normal","Crypt"
"D24_093_RE",227,12,0.230769230769231,"adenoma","Crypt"
"D25_029_RE",52,12,0.285714285714286,"adenoma","Crypt"
"D26_084_SI",42,12,0.244897959183673,"adenoma","Crypt"
"D27_074_SI",49,12,0.127659574468085,"adenoma","Crypt"
"D29_030_AS",94,29,0.190789473684211,"adenoma","Crypt"
"D30_029_AS",95,10,0.105263157894737,"adenoma","Crypt"
"D31_031_DE",112,19,0.169642857142857,"adenoma","Crypt"
"D32_076_CE",46,9,0.195652173913043,"adenoma","Crypt"
"D33_076_DE",4,0,0,"adenoma","Crypt"
"D4_19_TR",89,7,0.0786516853932584,"adenoma","Crypt"
"D6_84_RE",184,109,0.592391304347826,"adenoma","Crypt"
"D7_40_RE",112,47,0.419642857142857,"normal","Crypt"
"D8_076_AS",103,11,0.106796116504854,"adenoma","Crypt"
"D9_084_AS",67,2,0.0298507462686567,"adenoma","Crypt"
"HLS_1C_30_B5",175,36,0.205714285714286,"normal","Crypt"
"HLS_1C_30_D5",162,56,0.345679012345679,"normal","Crypt"
"HLS_1C_30_G5",160,37,0.23125,"normal","Crypt"
"HLS_1C_30_H5",131,33,0.251908396946565,"normal","Crypt"
"HLS_2C_30_D6",128,44,0.34375,"normal","Crypt"
"HLS_2C_30_E6",164,31,0.189024390243902,"normal","Crypt"
"Laurel-1",110,15,0.136363636363636,"adenoma","Crypt"
"Laurel-10",114,16,0.140350877192982,"adenoma","Crypt"
"Laurel-11",5,0,0,"adenoma","Crypt"
"Laurel-12",80,10,0.125,"adenoma","Crypt"
"Laurel-2",100,11,0.11,"adenoma","Crypt"
"Laurel-3",105,8,0.0761904761904762,"adenoma","Crypt"
"Laurel-5",21,2,0.0952380952380952,"adenoma","Crypt"
"Laurel-6",3,0,0,"adenoma","Crypt"
"Laurel-7",84,8,0.0952380952380952,"adenoma","Crypt"
"Laurel-8",78,7,0.0897435897435897,"adenoma","Crypt"
"PD28690bx_2_a5",112,18,0.160714285714286,"normal","Crypt"
"PD28690bx_2_d5",114,19,0.166666666666667,"normal","Crypt"
"PD28690cb_2_g1",88,7,0.0795454545454545,"normal","Crypt"
"PD28690cb_2_g3",154,37,0.24025974025974,"normal","Crypt"
"PD28690cb_2_h1",101,10,0.099009900990099,"normal","Crypt"
"PD28690cb_2_h3",166,49,0.295180722891566,"normal","Crypt"
"PD34199a_c17",73,5,0.0684931506849315,"normal","Crypt"
"PD34199a_c22",72,6,0.0833333333333333,"normal","Crypt"
"PD34199a_c27",95,4,0.0421052631578947,"normal","Crypt"
"PD34199a_c28",93,7,0.0752688172043011,"normal","Crypt"
"PD34199a_c3",97,5,0.0515463917525773,"normal","Crypt"
"PD34199a_c31",90,5,0.0555555555555556,"normal","Crypt"
"PD34199a_c5",81,1,0.0123456790123457,"normal","Crypt"
"PD34199a_c7",75,2,0.0266666666666667,"normal","Crypt"
"PD34199a_s13",96,9,0.09375,"normal","Crypt"
"PD34199a_s16",57,12,0.210526315789474,"normal","Crypt"
"PD34199a_s2",85,8,0.0941176470588235,"normal","Crypt"
"PD34199a_s27",63,3,0.0476190476190476,"normal","Crypt"
"PD34199a_s31",89,7,0.0786516853932584,"normal","Crypt"
"PD34199a_s4",79,5,0.0632911392405063,"normal","Crypt"
"PD34199a_t14",89,2,0.0224719101123595,"normal","Crypt"
"PD34199a_t16",75,6,0.08,"normal","Crypt"
"PD34199a_t18",97,7,0.0721649484536082,"normal","Crypt"
"PD34199a_t22",85,4,0.0470588235294118,"normal","Crypt"
"PD34199a_t24",78,7,0.0897435897435897,"normal","Crypt"
"PD34199a_t28",59,3,0.0508474576271186,"normal","Crypt"
"PD34199a_t31",99,8,0.0808080808080808,"normal","Crypt"
"PD34202a_s12",25,14,0.56,"normal","Crypt"
"PD34202a_s15",15,4,0.266666666666667,"normal","Crypt"
"PD34202a_s27",12,6,0.5,"normal","Crypt"
"PD34202a_s41",16,8,0.5,"normal","Crypt"
"PD34202a_s43",22,10,0.454545454545455,"normal","Crypt"
"PD34202a_s9",24,7,0.291666666666667,"normal","Crypt"
"PD36719a_lo005",183,112,0.612021857923497,"normal","Crypt"
"PD36719a_lo008",197,113,0.573604060913706,"normal","Crypt"
"PD36719a_lo018",167,42,0.251497005988024,"normal","Crypt"
"PD36719a_lo022",203,60,0.295566502463054,"normal","Crypt"
"PD36719a_lo034",228,72,0.315789473684211,"normal","Crypt"
"PD36719a_lo048",187,42,0.224598930481283,"normal","Crypt"
"PD36719a_lo049",208,131,0.629807692307692,"normal","Crypt"
"PD36719a_lo066",137,39,0.284671532846715,"normal","Crypt"
"PD36719a_lo072",116,30,0.258620689655172,"normal","Crypt"
"PD36813aa",68,9,0.132352941176471,"normal","Crypt"
"PD36813aa11",96,23,0.239583333333333,"normal","Crypt"
"PD36813aa12",99,16,0.161616161616162,"normal","Crypt"
"PD36813aa16",103,19,0.184466019417476,"normal","Crypt"
"PD36813aa2",87,14,0.160919540229885,"normal","Crypt"
"PD36813aa7",66,11,0.166666666666667,"normal","Crypt"
"PD36813ab10",78,9,0.115384615384615,"normal","Crypt"
"PD36813ab4",93,6,0.0645161290322581,"normal","Crypt"
"PD36813ab5",68,6,0.0882352941176471,"normal","Crypt"
"PD36813ac15",95,7,0.0736842105263158,"normal","Crypt"
"PD36813ac18",95,10,0.105263157894737,"normal","Crypt"
"PD36813ac2",120,11,0.0916666666666667,"normal","Crypt"
"PD36813ac4",138,19,0.13768115942029,"normal","Crypt"
"PD36813ac7",142,28,0.197183098591549,"normal","Crypt"
"PD36813ad17",113,18,0.15929203539823,"normal","Crypt"
"PD36813ad2",272,126,0.463235294117647,"normal","Crypt"
"PD36813ad8",122,16,0.131147540983607,"normal","Crypt"
"PD36813ad9",123,14,0.113821138211382,"normal","Crypt"
"PD36813ae",96,9,0.09375,"normal","Crypt"
"PD36813ae3",109,15,0.137614678899083,"normal","Crypt"
"PD36813ae7",135,16,0.118518518518519,"normal","Crypt"
"PD36813b4",77,9,0.116883116883117,"normal","Crypt"
"PD36813b5",78,6,0.0769230769230769,"normal","Crypt"
"PD36813b6",67,5,0.0746268656716418,"normal","Crypt"
"PD36813c",92,10,0.108695652173913,"normal","Crypt"
"PD36813c2",118,14,0.11864406779661,"normal","Crypt"
"PD36813c3",98,6,0.0612244897959184,"normal","Crypt"
"PD36813d3",107,14,0.130841121495327,"normal","Crypt"
"PD36813d5",86,4,0.0465116279069767,"normal","Crypt"
"PD36813e",92,10,0.108695652173913,"normal","Crypt"
"PD36813e5",90,9,0.1,"normal","Crypt"
"PD36813e6",105,8,0.0761904761904762,"normal","Crypt"
"PD36813g2",115,12,0.104347826086957,"normal","Crypt"
"PD36813g4",114,10,0.087719298245614,"normal","Crypt"
"PD36813h",86,8,0.0930232558139535,"normal","Crypt"
"PD36813h3",65,6,0.0923076923076923,"normal","Crypt"
"PD36813h5",83,8,0.0963855421686747,"normal","Crypt"
"PD36813i",97,9,0.0927835051546392,"normal","Crypt"
"PD36813i4",64,8,0.125,"normal","Crypt"
"PD36813i6",69,6,0.0869565217391304,"normal","Crypt"
"PD36813j",80,24,0.3,"normal","Crypt"
"PD36813j3",79,12,0.151898734177215,"normal","Crypt"
"PD36813j6",80,17,0.2125,"normal","Crypt"
"PD36813k",80,6,0.075,"normal","Crypt"
"PD36813k3",126,10,0.0793650793650794,"normal","Crypt"
"PD36813k5",102,5,0.0490196078431373,"normal","Crypt"
"PD36813l",85,12,0.141176470588235,"normal","Crypt"
"PD36813l7",85,5,0.0588235294117647,"normal","Crypt"
"PD36813l8",81,4,0.0493827160493827,"normal","Crypt"
"PD36813m3",65,3,0.0461538461538462,"normal","Crypt"
"PD36813m5",77,7,0.0909090909090909,"normal","Crypt"
"PD36813m8",89,10,0.112359550561798,"normal","Crypt"
"PD36813n",117,27,0.230769230769231,"normal","Crypt"
"PD36813o2",82,29,0.353658536585366,"normal","Crypt"
"PD36813o9",142,63,0.443661971830986,"normal","Crypt"
"PD36813p",170,88,0.517647058823529,"normal","Crypt"
"PD36813q11",65,4,0.0615384615384615,"normal","Crypt"
"PD36813q14",81,7,0.0864197530864197,"normal","Crypt"
"PD36813r12",160,84,0.525,"normal","Crypt"
"PD36813r14",273,190,0.695970695970696,"normal","Crypt"
"PD36813s12",140,28,0.2,"normal","Crypt"
"PD36813t20",90,14,0.155555555555556,"normal","Crypt"
"PD36813u2",159,22,0.138364779874214,"normal","Crypt"
"PD36813v4",131,7,0.0534351145038168,"normal","Crypt"
"PD36813x15",86,8,0.0930232558139535,"normal","Crypt"
"PD36813x16",57,7,0.12280701754386,"normal","Crypt"
"PD36813y13",115,21,0.182608695652174,"normal","Crypt"
"PD36813y15",124,19,0.153225806451613,"normal","Crypt"
"PD36813y6",82,17,0.207317073170732,"normal","Crypt"
"PD36813y7",92,21,0.228260869565217,"normal","Crypt"
"PD36813z15",74,6,0.0810810810810811,"normal","Crypt"
"PD36813z4",98,6,0.0612244897959184,"normal","Crypt"
"PD36813z5",96,11,0.114583333333333,"normal","Crypt"
"PD36813z6",72,9,0.125,"normal","Crypt"
"PD36813z7",69,3,0.0434782608695652,"normal","Crypt"
"PD36813z8",70,5,0.0714285714285714,"normal","Crypt"
"PD36814b2",73,16,0.219178082191781,"carcinoma","Crypt"
"PD36814b7",126,23,0.182539682539683,"carcinoma","Crypt"
"PD36814c2",87,14,0.160919540229885,"carcinoma","Crypt"
"PD36814c3",100,27,0.27,"carcinoma","Crypt"
"PD36814c4",58,15,0.258620689655172,"carcinoma","Crypt"
"PD36814d5",50,7,0.14,"carcinoma","Crypt"
"PD36814d6",41,4,0.0975609756097561,"carcinoma","Crypt"
"PD36814d7",56,7,0.125,"carcinoma","Crypt"
"PD36814d8",71,2,0.028169014084507,"carcinoma","Crypt"
"PD36814e5",56,4,0.0714285714285714,"carcinoma","Crypt"
"PD36814e6",209,6,0.0287081339712919,"carcinoma","Crypt"
"PD36814e7",72,7,0.0972222222222222,"carcinoma","Crypt"
"PD36814e8",174,6,0.0344827586206897,"carcinoma","Crypt"
"PD36814f4",66,7,0.106060606060606,"carcinoma","Crypt"
"PD36814f8",78,8,0.102564102564103,"carcinoma","Crypt"
"PD36814g4",84,3,0.0357142857142857,"carcinoma","Crypt"
"PD36814g7",104,7,0.0673076923076923,"carcinoma","Crypt"
"PD36814g8",84,6,0.0714285714285714,"carcinoma","Crypt"
"PD36814h2",49,9,0.183673469387755,"carcinoma","Crypt"
"PD36814h4",46,10,0.217391304347826,"carcinoma","Crypt"
"PD36814i",74,5,0.0675675675675676,"carcinoma","Crypt"
"PD36814i3",73,5,0.0684931506849315,"carcinoma","Crypt"
"PD36814i4",58,2,0.0344827586206897,"carcinoma","Crypt"
"PD36814k2",75,7,0.0933333333333333,"carcinoma","Crypt"
"PD36814k6",71,6,0.0845070422535211,"carcinoma","Crypt"
"PD36814k7",79,10,0.126582278481013,"carcinoma","Crypt"
"PD36814k8",73,7,0.0958904109589041,"carcinoma","Crypt"
"PD36814l2",65,4,0.0615384615384615,"carcinoma","Crypt"
"PD36814l4",62,3,0.0483870967741935,"carcinoma","Crypt"
"PD36814l7",91,8,0.0879120879120879,"carcinoma","Crypt"
"PD36814l8",78,3,0.0384615384615385,"carcinoma","Crypt"
"PD36814m5",87,9,0.103448275862069,"carcinoma","Crypt"
"PD36814m8",130,16,0.123076923076923,"carcinoma","Crypt"
"PD37226b5",215,137,0.637209302325581,"carcinoma","Crypt"
"PD37226b6",226,163,0.721238938053097,"carcinoma","Crypt"
"PD37226c5",89,55,0.617977528089888,"carcinoma","Crypt"
"PD37226c6",201,148,0.736318407960199,"carcinoma","Crypt"
"PD37226c7",264,187,0.708333333333333,"carcinoma","Crypt"
"PD37226c8",293,227,0.774744027303754,"carcinoma","Crypt"
"PD37226d4",77,21,0.272727272727273,"carcinoma","Crypt"
"PD37226d5",53,16,0.30188679245283,"carcinoma","Crypt"
"PD37226d6",94,18,0.191489361702128,"carcinoma","Crypt"
"PD37226e4",143,78,0.545454545454545,"carcinoma","Crypt"
"PD37226e5",124,62,0.5,"carcinoma","Crypt"
"PD37226f5",88,28,0.318181818181818,"carcinoma","Crypt"
"PD37226f6",76,25,0.328947368421053,"carcinoma","Crypt"
"PD37226f7",82,17,0.207317073170732,"carcinoma","Crypt"
"PD37226g5",100,60,0.6,"carcinoma","Crypt"
"PD37226g6",136,83,0.610294117647059,"carcinoma","Crypt"
"PD37226g7",167,104,0.622754491017964,"carcinoma","Crypt"
"PD37226h4",88,37,0.420454545454545,"carcinoma","Crypt"
"PD37226h7",105,46,0.438095238095238,"carcinoma","Crypt"
"PD37226h8",137,68,0.496350364963504,"carcinoma","Crypt"
"PD37226i5",51,15,0.294117647058824,"carcinoma","Crypt"
"PD37226i6",54,7,0.12962962962963,"carcinoma","Crypt"
"PD37226i7",82,11,0.134146341463415,"carcinoma","Crypt"
"PD37226i8",72,12,0.166666666666667,"carcinoma","Crypt"
"PD37226j4",130,35,0.269230769230769,"carcinoma","Crypt"
"PD37226j5",130,41,0.315384615384615,"carcinoma","Crypt"
"PD37226j6",126,26,0.206349206349206,"carcinoma","Crypt"
"PD37226j7",174,49,0.281609195402299,"carcinoma","Crypt"
"PD37226j8",214,47,0.219626168224299,"carcinoma","Crypt"
"PD37226k2",102,25,0.245098039215686,"carcinoma","Crypt"
"PD37226k5",92,16,0.173913043478261,"carcinoma","Crypt"
"PD37226k6",86,18,0.209302325581395,"carcinoma","Crypt"
"PD37226k8",105,25,0.238095238095238,"carcinoma","Crypt"
"PD37226l5",72,12,0.166666666666667,"carcinoma","Crypt"
"PD37226l6",73,32,0.438356164383562,"carcinoma","Crypt"
"PD37226l7",45,16,0.355555555555556,"carcinoma","Crypt"
"PD37226l8",76,21,0.276315789473684,"carcinoma","Crypt"
"PD37226m5",85,11,0.129411764705882,"carcinoma","Crypt"
"PD37226m7",89,14,0.157303370786517,"carcinoma","Crypt"
"PD37226m8",84,13,0.154761904761905,"carcinoma","Crypt"
"PD37226o4",218,27,0.123853211009174,"carcinoma","Crypt"
"PD37226o5",202,25,0.123762376237624,"carcinoma","Crypt"
"PD37226p7",208,49,0.235576923076923,"carcinoma","Crypt"
"PD37265b",166,69,0.41566265060241,"carcinoma","Crypt"
"PD37265b7",114,37,0.324561403508772,"carcinoma","Crypt"
"PD37265c2",42,1,0.0238095238095238,"carcinoma","Crypt"
"PD37265c3",56,2,0.0357142857142857,"carcinoma","Crypt"
"PD37265c5",88,29,0.329545454545455,"carcinoma","Crypt"
"PD37265d",49,4,0.0816326530612245,"carcinoma","Crypt"
"PD37265d5",65,4,0.0615384615384615,"carcinoma","Crypt"
"PD37265d8",56,5,0.0892857142857143,"carcinoma","Crypt"
"PD37265e",144,8,0.0555555555555556,"carcinoma","Crypt"
"PD37265e5",195,9,0.0461538461538462,"carcinoma","Crypt"
"PD37265f",58,5,0.0862068965517241,"carcinoma","Crypt"
"PD37265f2",66,5,0.0757575757575758,"carcinoma","Crypt"
"PD37265f4",63,3,0.0476190476190476,"carcinoma","Crypt"
"PD37265g6",99,8,0.0808080808080808,"carcinoma","Crypt"
"PD37265g7",68,4,0.0588235294117647,"carcinoma","Crypt"
"PD37265g8",76,6,0.0789473684210526,"carcinoma","Crypt"
"PD37265h5",85,15,0.176470588235294,"carcinoma","Crypt"
"PD37265h6",83,18,0.216867469879518,"carcinoma","Crypt"
"PD37265h8",73,11,0.150684931506849,"carcinoma","Crypt"
"PD37265i2",48,3,0.0625,"carcinoma","Crypt"
"PD37265i7",50,4,0.08,"carcinoma","Crypt"
"PD37265k",51,2,0.0392156862745098,"carcinoma","Crypt"
"PD37265k2",51,7,0.137254901960784,"carcinoma","Crypt"
"PD37265k3",63,3,0.0476190476190476,"carcinoma","Crypt"
"PD37265l2",68,1,0.0147058823529412,"carcinoma","Crypt"
"PD37265l6",56,2,0.0357142857142857,"carcinoma","Crypt"
"PD37265m3",125,15,0.12,"carcinoma","Crypt"
"PD37265m4",145,19,0.131034482758621,"carcinoma","Crypt"
"PD37266b_lo0004",106,20,0.188679245283019,"normal","Crypt"
"PD37266b_lo0005",99,13,0.131313131313131,"normal","Crypt"
"PD37266b_lo0006",79,9,0.113924050632911,"normal","Crypt"
"PD37266b_lo0007",82,14,0.170731707317073,"normal","Crypt"
"PD37266b_lo0008",88,21,0.238636363636364,"normal","Crypt"
"PD37266b_lo0017",92,15,0.16304347826087,"normal","Crypt"
"PD37266b_lo0023",45,6,0.133333333333333,"normal","Crypt"
"PD37266c_lo0010",124,77,0.620967741935484,"normal","Crypt"
"PD37266c_lo0012",96,40,0.416666666666667,"normal","Crypt"
"PD37266c_lo0014",109,47,0.431192660550459,"normal","Crypt"
"PD37266c_lo0016",109,48,0.440366972477064,"normal","Crypt"
"PD37266c_lo0018",96,44,0.458333333333333,"normal","Crypt"
"PD37266c_lo0023",23,3,0.130434782608696,"normal","Crypt"
"PD37266d_lo0002",32,9,0.28125,"normal","Crypt"
"PD37266d_lo0010",81,26,0.320987654320988,"normal","Crypt"
"PD37266d_lo0012",53,6,0.113207547169811,"normal","Crypt"
"PD37266d_lo0014",65,17,0.261538461538462,"normal","Crypt"
"PD37266e_lo0008",98,8,0.0816326530612245,"normal","Crypt"
"PD37266e_lo0010",30,4,0.133333333333333,"normal","Crypt"
"PD37449c_lo0001",302,207,0.685430463576159,"normal","Crypt"
"PD37449c_lo0009",258,175,0.678294573643411,"normal","Crypt"
"PD37449c_lo0014",195,130,0.666666666666667,"normal","Crypt"
"PD37449c_lo0017",189,129,0.682539682539683,"normal","Crypt"
"PD37449d_lo0001",250,180,0.72,"normal","Crypt"
"PD37449d_lo0002",241,182,0.755186721991701,"normal","Crypt"
"PD37449d_lo0003",185,134,0.724324324324324,"normal","Crypt"
"PD37449d_lo0006",269,197,0.732342007434944,"normal","Crypt"
"PD37449d_lo0011",82,48,0.585365853658537,"normal","Crypt"
"PD37449d_lo0012",96,49,0.510416666666667,"normal","Crypt"
"PD37449d_lo0017",245,177,0.722448979591837,"normal","Crypt"
"PD37449e_lo0001",25,0,0,"normal","Crypt"
"PD37449e_lo0002",30,7,0.233333333333333,"normal","Crypt"
"PD37449e_lo0003",37,5,0.135135135135135,"normal","Crypt"
"PD37449e_lo0004",53,9,0.169811320754717,"normal","Crypt"
"PD37449e_lo0006",68,24,0.352941176470588,"normal","Crypt"
"PD37449e_lo0008",250,183,0.732,"normal","Crypt"
"PD37449e_lo0010",183,119,0.650273224043716,"normal","Crypt"
"PD37449e_lo0014",49,11,0.224489795918367,"normal","Crypt"
"PD37449e_lo0015",39,0,0,"normal","Crypt"
"PD37449f_lo0002",54,15,0.277777777777778,"normal","Crypt"
"PD37449f_lo0006",45,1,0.0222222222222222,"normal","Crypt"
"PD37449f_lo0008",28,4,0.142857142857143,"normal","Crypt"
"PD37449f_lo0010",10,0,0,"normal","Crypt"
"PD37449f_lo0011",38,7,0.184210526315789,"normal","Crypt"
"PD37449f_lo0016",61,13,0.213114754098361,"normal","Crypt"
"PD37449f_lo0017",62,13,0.209677419354839,"normal","Crypt"
"PD37449f_lo0019",49,5,0.102040816326531,"normal","Crypt"
"PD37449f_lo0022",59,10,0.169491525423729,"normal","Crypt"
"PD37449f_lo0023",22,0,0,"normal","Crypt"
"PD37457b4",17,2,0.117647058823529,"carcinoma","Crypt"
"PD37457c4",63,6,0.0952380952380952,"carcinoma","Crypt"
"PD37457e6",113,8,0.0707964601769911,"carcinoma","Crypt"
"PD37457f4",83,9,0.108433734939759,"carcinoma","Crypt"
"PD37457f7",56,8,0.142857142857143,"carcinoma","Crypt"
"PD37457g5",74,15,0.202702702702703,"carcinoma","Crypt"
"PD37457h2",45,3,0.0666666666666667,"carcinoma","Crypt"
"PD37457h5",70,11,0.157142857142857,"carcinoma","Crypt"
"PD37457i4",92,14,0.152173913043478,"carcinoma","Crypt"
"PD37457i5",50,5,0.1,"carcinoma","Crypt"
"PD37457j7",105,29,0.276190476190476,"carcinoma","Crypt"
"PD37457j8",59,15,0.254237288135593,"carcinoma","Crypt"
"PD37509b8",84,37,0.44047619047619,"normal","Crypt"
"PD37509b9",57,19,0.333333333333333,"normal","Crypt"
"PD37510b4",22,14,0.636363636363636,"normal","Crypt"
"PD37510b7",49,34,0.693877551020408,"normal","Crypt"
"PD37510b8",44,39,0.886363636363636,"normal","Crypt"
"PD37512a11",189,97,0.513227513227513,"normal","Crypt"
"PD37512a4",115,11,0.0956521739130435,"normal","Crypt"
"PD37512a5",72,8,0.111111111111111,"normal","Crypt"
"PD37512b7",84,18,0.214285714285714,"normal","Crypt"
"PD37513a13",68,22,0.323529411764706,"normal","Crypt"
"PD37513a2",164,76,0.463414634146341,"normal","Crypt"
"PD37513a20",72,15,0.208333333333333,"normal","Crypt"
"PD37513a21",64,15,0.234375,"normal","Crypt"
"PD37513a3",173,99,0.572254335260116,"normal","Crypt"
"PD37513b5",37,3,0.0810810810810811,"normal","Crypt"
"PD37513b7",83,23,0.27710843373494,"normal","Crypt"
"PD37513b8",90,34,0.377777777777778,"normal","Crypt"
"PD37514a",75,6,0.08,"normal","Crypt"
"PD37514a2",82,8,0.0975609756097561,"normal","Crypt"
"PD37514a3",95,19,0.2,"normal","Crypt"
"PD37514b3",62,4,0.0645161290322581,"normal","Crypt"
"PD37514b7",82,5,0.0609756097560976,"normal","Crypt"
"PD37514b8",34,2,0.0588235294117647,"normal","Crypt"
"PD37590b_lo0010",79,6,0.0759493670886076,"normal","Crypt"
