"","total_indels","in_pks_motif","fraction_pksmotif"
"D8_076_AS",61,8,0.131147540983607
"D9_084_AS",42,1,0.0238095238095238
"HLS_1C_30_B5",95,17,0.178947368421053
"HLS_1C_30_D5",104,37,0.355769230769231
"HLS_1C_30_G5",89,20,0.224719101123595
"HLS_1C_30_H5",80,19,0.2375
"HLS_2C_30_D6",69,23,0.333333333333333
"HLS_2C_30_E6",94,17,0.180851063829787
"Laurel-1",73,10,0.136986301369863
"Laurel-10",71,9,0.126760563380282
"Laurel-11",5,0,0
"Laurel-12",50,6,0.12
"Laurel-2",61,5,0.0819672131147541
"Laurel-3",66,5,0.0757575757575758
"Laurel-5",19,2,0.105263157894737
"Laurel-6",2,0,0
"Laurel-7",50,2,0.04
"Laurel-8",51,4,0.0784313725490196
"PD28690bx_2_a5",62,8,0.129032258064516
"PD28690bx_2_d5",70,11,0.157142857142857
"PD28690cb_2_g1",57,3,0.0526315789473684
"PD28690cb_2_g3",81,12,0.148148148148148
"PD28690cb_2_h1",59,6,0.101694915254237
"PD28690cb_2_h3",101,32,0.316831683168317
"PD34199a_c17",43,3,0.0697674418604651
"PD34199a_c22",44,5,0.113636363636364
"PD34199a_c27",65,2,0.0307692307692308
"PD34199a_c28",59,3,0.0508474576271186
"PD34199a_c3",55,2,0.0363636363636364
"PD34199a_c31",55,1,0.0181818181818182
"PD34199a_c5",49,1,0.0204081632653061
"PD34199a_c7",47,1,0.0212765957446809
"PD34199a_s13",53,6,0.113207547169811
"PD34199a_s16",32,4,0.125
"PD34199a_s2",59,5,0.0847457627118644
"PD34199a_s27",41,1,0.024390243902439
"PD34199a_s31",60,5,0.0833333333333333
"PD34199a_s4",45,4,0.0888888888888889
"PD34199a_t14",51,2,0.0392156862745098
"PD34199a_t16",47,4,0.0851063829787234
"PD34199a_t18",58,4,0.0689655172413793
"PD34199a_t22",48,2,0.0416666666666667
"PD34199a_t24",51,5,0.0980392156862745
"PD34199a_t28",35,3,0.0857142857142857
"PD34199a_t31",58,5,0.0862068965517241
"PD34202a_s12",12,5,0.416666666666667
"PD34202a_s15",11,3,0.272727272727273
"PD34202a_s27",6,2,0.333333333333333
"PD34202a_s41",10,6,0.6
"PD34202a_s43",13,6,0.461538461538462
"PD34202a_s9",13,3,0.230769230769231
"PD36719a_lo005",111,66,0.594594594594595
"PD36719a_lo008",116,68,0.586206896551724
"PD36719a_lo018",105,25,0.238095238095238
"PD36719a_lo022",121,35,0.289256198347107
"PD36719a_lo034",133,30,0.225563909774436
"PD36719a_lo048",112,22,0.196428571428571
"PD36719a_lo049",106,63,0.594339622641509
"PD36719a_lo066",89,21,0.235955056179775
"PD36719a_lo072",68,15,0.220588235294118
"PD36813aa",45,5,0.111111111111111
"PD36813aa11",58,15,0.258620689655172
"PD36813aa12",57,9,0.157894736842105
"PD36813aa16",60,9,0.15
"PD36813aa2",40,3,0.075
"PD36813aa7",40,7,0.175
"PD36813ab10",53,7,0.132075471698113
"PD36813ab4",60,1,0.0166666666666667
"PD36813ab5",39,5,0.128205128205128
"PD36813ac15",56,4,0.0714285714285714
"PD36813ac18",58,6,0.103448275862069
"PD36813ac2",73,4,0.0547945205479452
"PD36813ac4",72,10,0.138888888888889
"PD36813ac7",84,17,0.202380952380952
"PD36813ad17",73,12,0.164383561643836
"PD36813ad2",177,83,0.468926553672316
"PD36813ad8",69,10,0.144927536231884
"PD36813ad9",78,11,0.141025641025641
"PD36813ae",58,2,0.0344827586206897
"PD36813ae3",68,9,0.132352941176471
"PD36813ae7",76,8,0.105263157894737
"PD36813b4",51,4,0.0784313725490196
"PD36813b5",53,4,0.0754716981132075
"PD36813b6",37,2,0.0540540540540541
"PD36813c",61,6,0.0983606557377049
"PD36813c2",61,6,0.0983606557377049
"PD36813c3",59,3,0.0508474576271186
"PD36813d3",60,6,0.1
"PD36813d5",54,3,0.0555555555555556
"PD36813e",57,6,0.105263157894737
"PD36813e5",50,1,0.02
"PD36813e6",57,3,0.0526315789473684
"PD36813g2",70,7,0.1
"PD36813g4",67,4,0.0597014925373134
"PD36813h",53,3,0.0566037735849057
"PD36813h3",41,3,0.0731707317073171
"PD36813h5",55,5,0.0909090909090909
"PD36813i",57,1,0.0175438596491228
"PD36813i4",35,5,0.142857142857143
"PD36813i6",44,1,0.0227272727272727
"PD36813j",50,13,0.26
"PD36813j3",51,5,0.0980392156862745
"PD36813j6",48,11,0.229166666666667
"PD36813k",50,3,0.06
"PD36813k3",71,4,0.0563380281690141
"PD36813k5",68,2,0.0294117647058824
"PD36813l",45,6,0.133333333333333
"PD36813l7",50,4,0.08
"PD36813l8",53,1,0.0188679245283019
"PD36813m3",38,2,0.0526315789473684
"PD36813m5",45,4,0.0888888888888889
"PD36813m8",54,7,0.12962962962963
"PD36813n",67,18,0.26865671641791
"PD36813o2",51,16,0.313725490196078
"PD36813o9",85,35,0.411764705882353
"PD36813p",97,45,0.463917525773196
"PD36813q11",45,4,0.0888888888888889
"PD36813q14",55,6,0.109090909090909
"PD36813r12",92,41,0.445652173913043
"PD36813r14",134,91,0.67910447761194
"PD36813s12",79,14,0.177215189873418
"PD36813t20",49,8,0.163265306122449
"PD36813u2",92,13,0.141304347826087
"PD36813v4",80,3,0.0375
"PD36813x15",56,4,0.0714285714285714
"PD36813x16",35,5,0.142857142857143
"PD36813y13",77,13,0.168831168831169
"PD36813y15",80,12,0.15
"PD36813y6",50,9,0.18
